company_name,website,score,category,industry,products,services,technologies,use_cases,product_specifications,price_range,contact_email,phone,address,description,summary,breakdown,confidence,recommended_products,reason
OPAL-RT Technologies India Pvt. Ltd.,opal-rt.com,48.95,Moderate,Power and Energy,"[{""name"": ""SPS"", ""specifications"": """"}, {""name"": ""VeriStand"", ""specifications"": """"}]",Integrated testing for smarter engineering,"Hardware-in-the-loop, Software-in-the-loop, Autonomous Systems, Automation",power system simulation,,,,,,,Discover OPAL-RT s platforms and OPAL-RT technologies for real-time simulation and testing. See how our OPAL Simulator advances innovation. Discover OPAL-RT s platforms and OPAL-RT technologies for real-time simulation and testing.,"{""domain"": 35.0, ""product"": 10.75, ""ai"": 3.2, ""use_case"": 0.0}",0.54,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Rebhu fit: domain match (Power and Energy) (score 48.95).
SKALEGROW,skalegrow.com,42.95,Moderate,Robotics,"[{""name"": ""Founder Speak"", ""specifications"": """"}, {""name"": ""Skalegrow Founder"", ""specifications"": """"}, {""name"": ""Speak Listen"", ""specifications"": """"}]","Business analysis, Marketing audit, Custom marketing plan, Capability presentation","Robotics, Automation",,,,,,,,"Skalegrow is an integrated marketing agency for B2B businesses. Learn more about our services, unique approaches, and how we bring desired results. Skalegrow is an integrated marketing agency for B2B businesses.","{""domain"": 26.6, ""product"": 14.75, ""ai"": 1.6, ""use_case"": 0.0}",0.58,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Rebhu fit: domain match (Robotics) (score 42.95).
boa!ent,boaient.com,41.6,Moderate,AI / ML Platform,"[{""name"": ""Boaient"", ""specifications"": """"}]","AI-powered image analysis, precise diagnostics for early intervention","AI, Machine Learning, Neural Networks, Autonomous Systems, Automation","detecting subtle anomalies, providing precise diagnostics, predictive maintenance",,,,,,,"Empowering Life with Compassionate AIExperience the future of care with AI that understands and supports your needs, providing companionship and assistance for a richer, more independent life.Unlocking Deep Health Insights Through Imaging IntelligenceRevolutionize healthcare with AI-powered image analysis, detecting subtle anomalies and providing p","{""domain"": 16.8, ""product"": 2.0, ""ai"": 9.2, ""use_case"": 13.6}",0.54,"Computer Vision Platform, AI Inference Accelerator, Data Pipeline System",Rebhu fit: domain match (AI / ML Platform); AI/vision capabilities; use case: detecting subtle anomalies; strong use-case alignment (score 41.6).
ThingsAlive Technology Solutions Inc,thingsalive.io,39.7,Moderate,AI / ML Platform,"[{""name"": ""EOL"", ""specifications"": """"}, {""name"": ""AIoT"", ""specifications"": """"}]","Customized IoT services, SAP Integration, Digital Twin Simulation Systems","AI, IoT, Sustainability, AI Agents, Chatbots, ROS, PyTorch, TensorFlow, OpenCV, Automation","predictive maintenance, real-time operations intelligence, anomaly detection, real-time tracking",,,,,,,ThingsAlive offers cutting-edge IoT solutions for businesses. Empower your company with customized IoT services that drive innovation and efficiency. EOL â Service â Aftermarket â AIoT Smart Diagnostics Predictive Maintenance â Keep Assets Alive Real-Time Operations Intelligence â See Everything Energy Efficiency Sustainability â Power Smart Truste,"{""domain"": 14.0, ""product"": 4.5, ""ai"": 7.6, ""use_case"": 13.6}",0.72,"Automation Control System, Real-time Processing Platform, Edge Compute Module",Rebhu fit: domain match (AI / ML Platform); use case: predictive maintenance; strong use-case alignment (score 39.7).
HEAD acoustics India Pvt. Ltd.,head-acoustics.com,38.9,Moderate,Audio Engineering,"[{""name"": ""The New"", ""specifications"": """"}, {""name"": ""HEAD"", ""specifications"": """"}, {""name"": ""FOCUS"", ""specifications"": """"}]",Analysis Software,"NVH Simulation, Localization",SLAM navigation,,,,,,,HEAD acoustics is world leading in measuring and analyzing sound and vibration and setting standards in voice and audio quality testing. HEAD acoustics is world leading in measuring and analyzing sound and vibration and setting standards in voice and audio quality testing. The New playSeries from HEAD acoustics The New playSeries from HEAD acoustic,"{""domain"": 9.8, ""product"": 8.5, ""ai"": 1.6, ""use_case"": 19.0}",0.67,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: use case: SLAM navigation; strong use-case alignment (score 38.9).
KARKHANA.IO,karkhana.io,35.2,Moderate,Healthcare AI,"[{""name"": ""PCB"", ""specifications"": """"}, {""name"": ""Manufacturing Simplified"", ""specifications"": """"}, {""name"": ""EMS"", ""specifications"": """"}]","Contract Manufacturing, Component Sourcing, PCB Assembly, Testing Validation",,"inventory management, quality control",,,,,,,"Karkhana.io electronics contract manufacturing services offers comprehensive electronics manufacturing services, including PCB assembly, box build, wire harness, and product integration. Karkhana offers comprehensive electronics manufacturing services, including PCB assembly, box build, wire harness, and product integration. Manufacturing Simplifie","{""domain"": 14.0, ""product"": 2.0, ""ai"": 3.2, ""use_case"": 16.0}",0.62,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Healthcare AI); use case: inventory management; strong use-case alignment (score 35.2).
Hero Electronix,heroelectronix.com,34.8,Low Potential,Autonomous Robotics,[],,"ROS2, LiDAR, SLAM",,,,,,,,Hero Electronix is the legendary Hero Group s venture into the technology space with a vision to create leading technology businesses from India. Hero Electronix is the legendary Hero Group s venture into the technology space with a vision to create leading technology businesses from India. Fuelling Innovations Products of the future Entrepreneurs,"{""domain"": 29.4, ""product"": 0.0, ""ai"": 10.4, ""use_case"": 0.0}",0.44,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Autonomous Robotics); AI/vision capabilities (score 34.8).
Pinetics,pinetics.com,23.9,Low Potential,Healthcare AI,"[{""name"": ""Years Experience"", ""specifications"": """"}, {""name"": ""Specialized Skills"", ""specifications"": """"}, {""name"": ""FDA"", ""specifications"": """"}]",Product Development Services,"Sensor Fusion, Automation","patient monitoring, geriatric patient care, anomaly detection",,,,,,,"End-to-end hardware, firmware embedded systems development. From concept to manufacturing-ready products. End-to-end hardware, firmware embedded systems development.","{""domain"": 10.5, ""product"": 9.0, ""ai"": 4.4, ""use_case"": 0.0}",0.74,"Automation Control System, Real-time Processing Platform, Edge Compute Module",Weak signal — limited overlap with Rebhu ICP.
ElectroSolve,electrosolve.com,23.1,Low Potential,Industrial Automation,"[{""name"": ""JET-3000"", ""specifications"": """"}, {""name"": ""PCB Manufacturing Tester"", ""specifications"": """"}]","Test Solutions, Inspection Solutions, Automation Solutions",Automation,"pcb testing, ic testing",,,,91 80 4173 2941,,,"Products and Services Products and Services Test Solutions, Inspection Solutions, Laser Soldering, Automation Solutions Resources PCB Testing Contact Us Contact us here Products and Services Test Solutions, Inspection Solutions, Laser Soldering, Automation Solutions Products and Services Test Solutions, Inspection Solutions, Laser Soldering, Automa","{""domain"": 17.5, ""product"": 4.0, ""ai"": 1.6, ""use_case"": 0.0}",0.52,"Automation Control System, Real-time Processing Platform, Edge Compute Module",Rebhu fit: domain match (Industrial Automation) (score 23.1).
Axial Aero Pvt Limited,axial.aero,22.2,Low Potential,Defense AI,[],,"6 DOF, FLIGHT SIMULATOR",military training,,,,,,,THE FOUNDERS Praveen bala THE AXIAL AERO 6 DOF-360 FLIGHT SIMULATOR THE AXIAL AERO 6 DOF-360 FLIGHT SIMULATOR OUR JOURNEY THE LCA (TEJAS) IN ACTION Recognitions Revolutionizing Military Training: AXIAL AERO Axial Aero is a technology innovation company that works with cutting edge aeronautical and aerospace products and services. Our interests vary,"{""domain"": 23.1, ""product"": 2.5, ""ai"": 1.6, ""use_case"": 0.0}",0.34,"Embedded Systems Framework, Real-time Compute Platform",Rebhu fit: domain match (Defense AI) (score 22.2).
Sahasra Electronic Solutions Limited,iptl.in,19.2,Low Potential,Electronics Manufacturing,"[{""name"": ""PCB"", ""specifications"": """"}, {""name"": ""PCBA"", ""specifications"": """"}, {""name"": ""MHC"", ""specifications"": """"}]","PCB Design, Fabrication","PCB, Automation",,,,,,,,"PCB Design Manufacturing PCB Design Manufacturing North India s largest and one of the very few PCB Design and Fabrication companies in India, Infopower is known for its PCB quality, optimal cost and on time delivery serving both Indian customers as well as overseas markets. Read More North India s largest and one of the very few PCB Design and Fab","{""domain"": 14.0, ""product"": 2.0, ""ai"": 3.2, ""use_case"": 0.0}",0.58,"Automation Control System, Real-time Processing Platform, Edge Compute Module",Rebhu fit: domain match (Electronics Manufacturing) (score 19.2).
Rotary Connectors Private Limited,rotaryconnectors.com,17.4,Low Potential,Industrial,"[{""name"": ""Rotary Connectors"", ""specifications"": """"}, {""name"": ""Solution For"", ""specifications"": """"}, {""name"": ""All Industries"", ""specifications"": """"}]",,,,,,,91-6364935096,,,"Rotary Connectors Rotary Connectors Rotary Connectors is a Manufacturer, aimed to serve and win Get A Solution For All Industries sales rotaryconnectors.com 91-6364935096 sales rotaryconnectors.com 91-6364935096 sales rotaryconnectors.com 91-6364935096 sales rotaryconnectors.com 91-6364935096 sales rotaryconnectors.com The Best Industrial Solution","{""domain"": 9.8, ""product"": 6.0, ""ai"": 1.6, ""use_case"": 0.0}",0.54,"Autonomous Navigation System, Computer Vision Platform, Real-time Control Engine",Weak signal — limited overlap with Rebhu ICP.
LAKSHMI MACHINE WORKS LIMITED,lmw.co.in,11.1,Low Potential,Industrial Machinery,"[{""name"": ""Textile Machinery"", ""specifications"": """"}, {""name"": ""Division Machine"", ""specifications"": """"}, {""name"": ""Tool Division"", ""specifications"": """"}]",,"CNC machines, Machine Tool Division",,,,,,,,"LMW Limited is a leading manufacturer of industrial machinery like CNC machines, Textile Machinery, Foundry Castings Aerospace Components. Textile Machinery Division Machine Tool Division Foundry Division Advanced Technology Centre Textile Machinery Division Machine Tool Division Foundry Division Advanced Technology Centre Welcome to LMW Limited Ne","{""domain"": 3.5, ""product"": 6.0, ""ai"": 1.6, ""use_case"": 0.0}",0.58,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Sensio,sensio-ai.in,10.1,Low Potential,Healthcare AI,"[{""name"": ""Smart Ring"", ""specifications"": """"}, {""name"": ""Smart Band"", ""specifications"": """"}, {""name"": ""Smart Glasses"", ""specifications"": """"}]",Custom Solutions,,,,,,,,,"A leading wearables manufacturer in India, Sensio delivers ECG-enabled rings, smartbands, and more offering custom ODM solutions built end to end. A leading wearables manufacturer in India, Sensio delivers ECG-enabled rings, smartbands, and more offering custom ODM solutions built end to end. From idea to execution, at Sensio, we craft bespoke wear","{""domain"": 0.0, ""product"": 8.5, ""ai"": 1.6, ""use_case"": 0.0}",0.54,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Be Analytic,beanalytic.com,9.5,Low Potential,Environmental Testing,"[{""name"": ""Analytic Solution"", ""specifications"": """"}, {""name"": ""Mold Growth"", ""specifications"": """"}, {""name"": ""Testing Service"", ""specifications"": """"}]",,,,,,,,,,"NABL testing lab in Bangalore providing environmental, EMI/EMC reliability testing services. DGAQA accredited for automotive, aerospace defence. NABL testing lab in Bangalore providing environmental, EMI/EMC reliability testing services.","{""domain"": 3.5, ""product"": 6.0, ""ai"": 0.0, ""use_case"": 0.0}",0.54,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
ESD TECHCON,esdtechcon.com,9.1,Low Potential,Electronics Manufacturing,"[{""name"": ""ESD"", ""specifications"": """"}, {""name"": ""Training Failure"", ""specifications"": """"}, {""name"": ""Analysis Static"", ""specifications"": """"}]","ESD Audits, ESD Training, Failure Analysis, Static Fire Prevention, Product Qualification","ANSI ESD ES20.20, IEC 61340-5-1",,,,,61340-5-1,,,"EOS and ESD protection Certifications to safeguard your electronics and Manufacturing Environments. ANSI ESD ES20.20 : 2021 IEC 61340-5-1 Standards. ESD Audits ESD Training Failure Analysis Static Fire Prevention Product Qualification Comprehensive ESD/EOS Control Solutions ""Empowering Growth: Enjoy 25 Off All Our Services for Micro Industries Star","{""domain"": 3.5, ""product"": 4.0, ""ai"": 1.6, ""use_case"": 0.0}",0.58,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Exhibitions India Group,autox.com,9.1,Low Potential,Computer Vision AI,"[{""name"": ""Gold Star"", ""specifications"": """"}, {""name"": ""BMW"", ""specifications"": """"}, {""name"": ""Series Revealed"", ""specifications"": """"}]",,"YOLOv8, OpenCV",object detection,,,,,,,"autoX is the most passion-driven and informative automotive publication in India. The autoX magazine brings you the most influential car bike reviews, latest car bike videos, pictures, podcasts of new and upcoming vehicles, making it one of the most entertaining automobile publications not only in India, but also globally. autoX is the most passion","{""domain"": 3.5, ""product"": 4.0, ""ai"": 1.6, ""use_case"": 0.0}",0.72,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
"AI Technology, Inc.",aitechnology.com,7.6,Low Potential,Semiconductors,"[{""name"": ""More Information"", ""specifications"": """"}, {""name"": ""Backgrinding Wax"", ""specifications"": """"}, {""name"": ""Adhesive Solutions"", ""specifications"": """"}]",,"AI Technology, SiC, Sapphire, GaN, GaAs",,,,,,,,"is Proud to Announce our Strategic Acquisition of Ormet Circuits Inc. Click here for More Information AI Technology, Inc. is Proud to Announce our Strategic Acquisition of Ormet Circuits Inc.Click here for More Information Backgrinding Wax Adhesive Solutions for SiC, Sapphire, GaN and GaAs Wafers Backgrinding Wax Adhesive Solutions for SiC, Sapphir","{""domain"": 0.0, ""product"": 6.0, ""ai"": 1.6, ""use_case"": 0.0}",0.63,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
FUNDING NETWORK OF INDIA,fundingindia.in,7.6,Low Potential,Financial Services,"[{""name"": ""Funding Network"", ""specifications"": """"}, {""name"": ""India One"", ""specifications"": """"}, {""name"": ""Roof Solution"", ""specifications"": """"}]",One Roof Solution,,,,,,,,,"Join Funding India s trusted network of venture capital firms, angel investors, and financial institutions. Get startup funding, project loans MSME support. Funding Network of India One Roof Solution for MSME / Project Loans 10 Lakhs to 100 Crs ""Funding Journey: From Startup to Scale-Up"" ""Funding Network of India Associated Funding Partners are"" Te","{""domain"": 0.0, ""product"": 6.0, ""ai"": 1.6, ""use_case"": 0.0}",0.54,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
MINIOO MINES,m-mines.com,7.1,Low Potential,Clean Technology,"[{""name"": ""MiniMines"", ""specifications"": """"}]",,"Li-ion, ROS2",battery recycling,,,,91- 080-29908945,,,MiniMines is a Clean Technology Company using proprietary environment-friendly processes in Li-ion battery Recycling. MiniMines is a Clean Technology Company using proprietary environment-friendly processes in Li-ion battery Recycling. MiniMines signs an MoU with the Karnataka govt worth Rs 350-crore MiniMines signs an MoU with the Karnataka govt w,"{""domain"": 3.5, ""product"": 2.0, ""ai"": 1.6, ""use_case"": 0.0}",0.45,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Hanron Space Private Limited,hanronspace.com,5.6,Low Potential,Quantum Technologies,"[{""name"": ""Wideband RF Detector"", ""specifications"": """"}, {""name"": ""TWPA"", ""specifications"": """"}]",,Cryogenic RF Microwave,,,,,,,,"Hanron Space is a leading provider of cutting-edge Quantum Microwave Devices Subsystems. Explore our customized solutions for TWPAs, HEMT Amplifiers, and more. Drive innovation in Quantum Technologies Meet Next-Gen Quantum Microwave Products Solutions.","{""domain"": 0.0, ""product"": 4.0, ""ai"": 1.6, ""use_case"": 0.0}",0.45,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Banashree Semiconductors,banashreesystems.com,2.1,Low Potential,Renewable Energy,"[{""name"": ""Banashree Renewable Energy Systems"", ""specifications"": """"}]","Battery Refurbishment, Carbon Offset, CBAM Solutions",,sustainable power generation,,,,,,,"Banashree Renewable Energy Systems Battery Refurbishment, Carbon Offset CBAM Solutions Banashree Renewable Energy Systems Battery Refurbishment, Carbon Offset CBAM Solutions Enabling Optimal PPA... Our Strategic Edge Revenue Model OUR CLIENTS Batteries Refurbished Annual Business Potential Core Industry Sectors Served Existing Life Cycle Lead Minin","{""domain"": 3.5, ""product"": 2.0, ""ai"": 1.6, ""use_case"": 0.0}",0.36,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Tracxn,tracxn.com,1.8,Low Potential,AI,"[{""name"": ""Tracxn"", ""specifications"": """"}]",,AI as a Service,"emerging companies tracking, company highlights",,,,,,,"Join 850 Venture Capitalists, Private Equity Firms, Investment Banks and Corporates who leverage Tracxn to track the world's most innovative companies and emerging sectors. Artificial Intelligence Core infrastructure and cutting edge Al applications Discover the top emerging companies in the AI as a Service Sector, their funding activity, key inves","{""domain"": 0.0, ""product"": 2.0, ""ai"": 4.8, ""use_case"": 0.0}",0.32,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Sun Micro Components,sunmicrocomponents.com,0.0,Low Potential,Industrial Automation,[],,,inventory management,,,,,,,Home About Us Authorized Products Other Products Clients Contact Us RFQ / Order Authorised Distributor For India Sun Micro Components Pvt. is one of the major importer stockist of : ALL TYPES OF INDUSTRIAL ELECTRONIC COMPONENTS in India. Our Experience : 21 year's professional for Electronic Components.,"{""domain"": 10.5, ""product"": 0.0, ""ai"": 1.6, ""use_case"": 0.0}",0.3,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
Dewteq Technologies Private Limited,dewteq.com,0.0,Low Potential,Healthcare AI,[],,,,,,,,,,"Dehumidifier manufacturer Dewteq Technologies leads the way in providing advanced dehumidification systems in India. As an experienced air dehumidifier supplier, we offer the latest technology. Dehumidifier manufacturer Dewteq Technologies leads the way in providing advanced dehumidification systems in India.","{""domain"": 0.0, ""product"": 0.0, ""ai"": 1.6, ""use_case"": 0.0}",0.22,"Embedded Systems Framework, Real-time Compute Platform",Weak signal — limited overlap with Rebhu ICP.
